Column1,Column2
### || (صفوان يحرضه على قتل الرسول) :,143.1.0.0.0
### || (رؤية عمر له وإخباره الرسول بأمره) :,143.2.0.0.0
### || (الرسول يحدثه بما بيته هو وصفوان فيسلم) :,143.3.0.0.0
### || (رجوعه إلى مكة يدعو للإسلام) :,143.4.0.0.0
### || (هو أو ابن هشام الذي رأى إبليس. وما نزل فيه) :,143.5.0.0.0
### || (تفسير ابن هشام لبعض الغريب) :,143.6.0.0.0
### || (شعر لحسان في الفخر بقومه وما كان من تغرير إبليس بقريش) :,143.7.0.0.0
### | المطعمون من قريش,144.0.0.0.0
### || (من بني هاشم) :,144.1.0.0.0
### || (من بني عبد شمس) :,144.2.0.0.0
### || (من بني نوفل) :,144.3.0.0.0
### || (من بني أسد) :,144.4.0.0.0
### || (من بني عبد الدار) :,144.5.0.0.0
### || (نسب النضر) :,144.6.0.0.0
### || (من بني مخزوم) :,144.7.0.0.0
### || (من بني جمح) :,144.8.0.0.0
### || (من بني سهم) :,144.9.0.0.0
### || (من بني عامر) :,144.10.0.0.0
### | أسماء خيل المسلمين يوم بدر,145.0.0.0.0
### || (خيل المشركين) :,145.1.0.0.0
### | نزول سورة الأنفال,146.0.0.0.0
### || (ما نزل في تقسيم الأنفال) :,146.1.0.0.0
### || (ما نزل في خروج القوم مع الرسول ms443 لملاقاة قريش) :,146.2.0.0.0
"### || (ما نزل في تبشير المسلمين بالمساعدة والنصر، وتحريضهم) :",146.3.0.0.0
### || (ما نزل في رمي الرسول للمشركين بالحصباء) :,146.4.0.0.0
### || (ما نزل في الاستفتاح) :,146.5.0.0.0
### || (ما نزل في حض المسلمين على طاعة الرسول) :,146.6.0.0.0
### || (ما نزل في ذكر نعمة الله على الرسول) :,146.7.0.0.0
### || (ما نزل في غرة قريش واستفتاحهم) :,146.8.0.0.0
### || (تفسير ابن هشام لبعض الغريب) :,146.9.0.0.0
### || (المدة بين يا أيها المزمل 73: 1 وبدر) :,146.10.0.0.0
### || (تفسير ابن هشام لبعض الغريب) .,146.11.0.0.0
### || (ما نزل فيمن عاونوا أبا سفيان) :,146.12.0.0.0
### || (الأمر بقتال الكفار) :,146.13.0.0.0
### || (ما نزل في تقسيم الفيء) :,146.14.0.0.0
### || (ما نزل في لطف الله بالرسول) :,146.15.0.0.0
### || (ما نزل في وعظ المسلمين وتعليمهم خطط الحرب) :,146.16.0.0.0
### || (تفسير ابن هشام لبعض الغريب) :,146.17.0.0.0
### || (ما نزل في الأسارى والمغانم) :,146.18.0.0.0
### || (ما نزل في التواصل بين المسلمين) :,146.19.0.0.0
### | من حضر بدرا من المسلمين,147.0.0.0.0
### || (من بنى هاشم والمطلب) :,147.1.0.0.0
### || (من بني عبد شمس) :,147.2.0.0.0
### || (نسب سالم) :,147.3.0.0.0
### || (من حلفاء بني عبد شمس) :,147.4.0.0.0
### || (من حلفاء بني كبير) :,147.5.0.0.0
### || (من بني نوفل) :,147.6.0.0.0
### || (من بني أسد) :,147.7.0.0.0
### || (من بني عبد الدار) :,147.8.0.0.0
### || (من بني زهرة) :,147.9.0.0.0
### || (من بنى تيم) :,147.10.0.0.0
### || (نسب النمر) :,147.11.0.0.0
### || (من بني مخزوم) :,147.12.0.0.0
### || (سبب تسمية الشماس) :,147.13.0.0.0
### || (من بني عدي وحلفائهم) :,147.14.0.0.0
### || (من بني جمح وحلفائهم) :,147.15.0.0.0
### || (من بني عامر) :,147.16.0.0.0
### || (من بني الحارث) :,147.17.0.0.0
### || (عدد من شهد بدرا من المهاجرين) :,147.18.0.0.0
### | الأنصار ومن معهم,148.0.0.0.0
### || (من بني عبد الأشهل) :,148.1.0.0.0
### || (من بني عبيد بن كعب وحلفائهم) :,148.2.0.0.0
### || (سبب تسمية عبيد بمقرن ms459) :,148.3.0.0.0
### || (من بني عبد بن رزاح وحلفائهم) :,148.4.0.0.0
### || (من بني حارثة) :,148.5.0.0.0
### || (من بني عمرو) :,148.6.0.0.0
### || (من بني أمية) :,148.7.0.0.0
### || (من بني عبيد وحلفائهم) :,148.8.0.0.0
### || (من بني ثعلبة) :,148.9.0.0.0
### || (من بني جحجبى وحلفائهم) :,148.10.0.0.0
### || (من بني غنم) :,148.11.0.0.0
### || (من بني معاوية وحلفائهم) :,148.12.0.0.0
### || (عدد من شهد بدرا من الأوس) :,148.13.0.0.0
### || (من بني امرئ القيس) :,148.14.0.0.0
### || (من بني زيد) :,148.15.0.0.0
### || (من بني عدي) :,148.16.0.0.0
### || (من بني أحمر) :,148.17.0.0.0
### || (من بني جشم) :,148.18.0.0.0
### || (من بني جدارة) :,148.19.0.0.0
### || (من بني الأبجر) :,148.20.0.0.0
### || (من بني عوف) :,148.21.0.0.0
### || (من بني جزء وحلفائهم) :,148.22.0.0.0
### || (من بني ms464 سالم) :,148.23.0.0.0
### || (من بني أصرم) :,148.24.0.0.0
### || (من بني دعد) :,148.25.0.0.0
### || (من بني لوذان وحلفائهم) :,148.26.0.0.0
### || (من بني ساعدة) :,148.27.0.0.0
### || (من بني البدي وحلفائهم) :,148.28.0.0.0
### || (من بني طريف وحلفائهم) :,148.29.0.0.0
### || (من بني جشم) :,148.30.0.0.0
### || (نسب الجموح) :,148.31.0.0.0
### || (من بني عبيد وحلفائهم) :,148.32.0.0.0
### || (من بني خناس) :,148.33.0.0.0
### || (من بني النعمان) :,148.34.0.0.0
### || (من بني سواد) :,148.35.0.0.0
### || (من بني عدي بن نابي) :,148.36.0.0.0
### || (تسمية من كسروا آلهة بني سلمة) :,148.37.0.0.0
### || (من بني زريق) :,148.38.0.0.0
### || (من بني خالد) :,148.39.0.0.0
### || (من بني خلدة) :,148.40.0.0.0
### || (من بني العجلان) :,148.41.0.0.0
### || (من بني بياضة) :,148.42.0.0.0
### || (من بني حبيب) :,148.43.0.0.0
### || (من بني النجار) :,148.44.0.0.0
### || (من بني عسيرة) :,148.45.0.0.0
### || (من بني عمرو) :,148.46.0.0.0
### || (من بني عبيد بن ثعلبة) :,148.47.0.0.0
### || (من بني عائذ وحلفائهم) :,148.48.0.0.0
### || (من بني زيد) :,148.49.0.0.0
### || (من بني سواد وحلفائهم) :,148.50.0.0.0
### || (نسب عفراء) :,148.51.0.0.0
### || (من بني عامر بن مالك) :,148.52.0.0.0
### || (من بني عمرو بن مالك) :,148.53.0.0.0
### || (نسب حديلة) :,148.54.0.0.0
### || (من بني عدي بن عمرو) :,148.55.0.0.0
### || (من بني عدي بن النجار) :,148.56.0.0.0
### || (من بني حرام بن جندب) :,148.57.0.0.0
### || (من بني مازن بن النجار وحلفائهم),148.58.0.0.0
### || (من بني خنساء بن مبذول) :,148.59.0.0.0
### || (من بني ثعلبة بن مازن) :,148.60.0.0.0
### || (من بني دينار بن النجار) :,148.61.0.0.0
### || (من فات ابن إسحاق ذكرهم) :,148.62.0.0.0
### || (عدد البدريين جميعا) :,148.63.0.0.0
### | من استشهد من المسلمين يوم بدر,149.0.0.0.0
### || (القرشيون من بني عبد المطلب) :,149.1.0.0.0
### || (من بني زهرة) :,149.2.0.0.0
### || (من بني عدي) :,149.3.0.0.0
### || (من بني الحارث بن فهر) :,149.4.0.0.0
### || (ومن الأنصار) :,149.5.0.0.0
### || (من بني الحارث بن الخزرج) :,149.6.0.0.0
### || (من بني سلمة) :,149.7.0.0.0
### || (من بني حبيب) :,149.8.0.0.0
### || (من بني النجار) :,149.9.0.0.0
### || (من بني غنم) :,149.10.0.0.0
### | من قتل ببدر من المشركين,150.0.0.0.0
### || (من بني عبد شمس) :,150.1.0.0.0
### || (من ms475 بني نوفل) :,150.2.0.0.0
### || (من بني أسد) :,150.3.0.0.0
### || (من بني عبد الدار) :,150.4.0.0.0
### || (من بني تميم بن مرة) :,150.5.0.0.0
### || (من بني مخزوم) :,150.6.0.0.0
### || (من بني سهم) :,150.7.0.0.0
### || (من بني جمح) :,150.8.0.0.0
### || (من بني عامر) :,150.9.0.0.0
### || (عددهم) :,150.10.0.0.0
### || (من فات ابن إسحاق ذكرهم) :,150.11.0.0.0
### || (من بني عبد شمس) :,150.12.0.0.0
### || (من بني أسد) :,150.13.0.0.0
### || (من بني عبد الدار) :,150.14.0.0.0
### || (من بنى تيم) :,150.15.0.0.0
### || (من بني مخزوم) :,150.16.0.0.0
### || (من بني جمح) :,150.17.0.0.0
### || (من بني سهم) :,150.18.0.0.0
### | ذكر أسرى قريش يوم بدر,151.0.0.0.0
### || (من بني هاشم) :,151.1.0.0.0
### || (من بني المطلب) :,151.2.0.0.0
### || (من بني عبد شمس وحلفائهم) :,151.3.0.0.0
### || (من بني نوفل وحلفائهم) :,151.4.0.0.0
### || (من بني عبد الدار وحلفائهم) :,151.5.0.0.0
### || (من بني أسد وحلفائهم) :,151.6.0.0.0
### || (من بني مخزوم) :,151.7.0.0.0
### || (من بني سهم) :,151.8.0.0.0
### || (من بني جمح) :,151.9.0.0.0
### || (من بني عامر) :,151.10.0.0.0
### || (من بى الحارث) :,151.11.0.0.0
### || (ما فات ابن إسحاق ذكرهم) .,151.12.0.0.0
### || (من بني هاشم) :,151.13.0.0.0
### || (من بني المطلب) :,151.14.0.0.0
### || (من بني عبد شمس) :,151.15.0.0.0
### || (من بني نوفل) :,151.16.0.0.0
### || (من بني أسد) :,151.17.0.0.0
### || (من بني عبد الدار) :,151.18.0.0.0
### || (من بنى تيم) :,151.19.0.0.0
### || (من بني مخزوم) :,151.20.0.0.0
### || (من بني جمح) :,151.21.0.0.0
### || (من بني سهم) :,151.22.0.0.0
### || (من بني عامر) :,151.23.0.0.0
### || (من بني الحارث) :,151.24.0.0.0
### | ما قيل من الشعر في يوم بدر,152.0.0.0.0
### || (شعر لحسان في بدر أيضا) :,152.1.0.0.0
### || (شعر الحارث في الرد على حسان) :,152.2.0.0.0
### || (شعر لحسان فيها أيضا) :,152.3.0.0.0
### || (شعر عبيدة بن الحارث في قطع رجله) :,152.4.0.0.0
### || (رثاء كعب لعبيدة بن الحارث) :,152.5.0.0.0
### || (شعر لكعب في بدر) :,152.6.0.0.0
### || (شعر طالب في مدح الرسول وبكاء أصحاب القليب) :,152.7.0.0.0
### || (شعر ضرار في رثاء أبي جهل) :,152.8.0.0.0
### || (شعر الحارث بن هشام في رثاء أبي جهل ms493) :,152.9.0.0.0
### || (شعر ابن الأسود في بكاء قتلى بدر) :,152.10.0.0.0
### || (شعر أمية بن أبي الصلت في رثاء قتلى بدر) :,152.11.0.0.0
### || (شعر أبي أسامة) :,152.12.0.0.0
### || (شعر هند بنت عتبة) :,152.13.0.0.0
### || (شعر صفية) :,152.14.0.0.0
### || (شعر هند بنت أثاثة) :,152.15.0.0.0
### || (شعر قتيلة بنت الحارث) :,152.16.0.0.0
### || (تاريخ الفراغ من بدر) :,152.17.0.0.0
### | غزوة بني سليم بالكدر,153.0.0.0.0
### | غزوة السويق,154.0.0.0.0
### || (عدوان أبي سفيان وخروج الرسول في أثره) :,154.1.0.0.0
### || (سبب تسميتها بغزوة السويق) :,154.2.0.0.0
### || (شعر أبي سفيان فيها) :,154.3.0.0.0
### | غزوة ذي أمر,155.0.0.0.0
### | غزوة الفرع من بحران,156.0.0.0.0
### | أمر بني قينقاع,157.0.0.0.0
### || (نصيحة الرسول لهم وردهم عليه) :,157.1.0.0.0
### || (ما نزل فيهم) :,157.2.0.0.0
### || (كانوا أول من نقض العهد) :,157.3.0.0.0
### || (سبب الحرب بينهم وبين المسلمين) :,157.4.0.0.0
### || (ما كان من ابن أبي مع الرسول) :,157.5.0.0.0
### || (مدة حصارهم) :,157.6.0.0.0
### || (تبرؤ ابن الصامت من حلفهم وما نزل فيه وفي ابن أبي) :,157.7.0.0.0
### | سرية زيد بن حارثة إلى القردة,158.0.0.0.0
### || (إصابة زيد للعير وإفلات الرجال) :,158.1.0.0.0
### || (شعر حسان في تأنيب قريش) :,158.2.0.0.0
### | مقتل كعب بن الأشرف,159.0.0.0.0
### || (استنكاره خبر رسولي الرسول بقتل ناس من المشركين) :,159.1.0.0.0
### || (شعره في التحريض على الرسول) :,159.2.0.0.0
### || (شعر حسان في الرد عليه) :,159.3.0.0.0
### || (شعر ميمونة في الرد على كعب) :,159.4.0.0.0
### || (شعر كعب في الرد على ميمونة) :,159.5.0.0.0
### || (تشبيب كعب بنساء المسلمين والحيلة في قتله) :,159.6.0.0.0
### || (شعر كعب بن مالك في مقتل ابن الأشرف) :,159.7.0.0.0
### || (شعر حسان في مقتل ابن الأشرف وابن أبي الحقيق) :,159.8.0.0.0
### | أمر محيصة وحويصة,160.0.0.0.0
"### || (لوم حويصة لأخيه محيصة لقتله يهوديا ثم إسلامه) ،",160.1.0.0.0
### || (شعر محيصة في لوم أخيه له) .,160.2.0.0.0
### || (رواية أخرى في إسلام حويصة) :,160.3.0.0.0
### || (المدة بين قدوم الرسول بحران وغزوة أحد) :,160.4.0.0.0
### | غزوة أحد,161.0.0.0.0
### || (التحريض على غزو الرسول) :,161.1.0.0.0
### || (ما نزل في ذلك من القرآن) :,161.2.0.0.0
### || (اجتماع قريش للحرب) :,161.3.0.0.0
### || (خروج قريش معهم نساؤهم) :,161.4.0.0.0
### || (رؤيا رسول الله صلى الله عليه وسلم) :,161.5.0.0.0
### || (مشاورة الرسول القوم في الخروج أو البقاء) :,161.6.0.0.0
### || (انخذال المنافقين) :,161.7.0.0.0
### || (حادثة تفاءل بها الرسول) :,161.8.0.0.0
### || (ما كان من مربع حين سلك المسلمون حائطه) :,161.9.0.0.0
### || (نزول الرسول بالشعب وتعبيته للقتال) :,161.10.0.0.0
### || (من أجازهم الرسول وهم في الخامسة عشرة) :,161.11.0.0.0
### || (أمر أبي دجانة) :,161.12.0.0.0
### || (أمر أبي عامر الفاسق) :,161.13.0.0.0
### || (أسلوب أبي سفيان في تحريض قريش) :,161.14.0.0.0
### || (تحريض هند والنسوة معها) :,161.15.0.0.0
### || (شعار المسلمين) :,161.16.0.0.0
### || (تمام قصة أبي دجانة) :,161.17.0.0.0
### || (مقتل حمزة) :,161.18.0.0.0
### || (وحشي يحدث الضمري وابن الخيار عن قتله حمزة) :,161.19.0.0.0
### || (وحشي بين يدي الرسول يسلم) :,161.20.0.0.0
### || (قتل وحشي لمسيلمة) :,161.21.0.0.0
### || (خلع وحشي من الديوان) :,161.22.0.0.0
### || (مقتل مصعب بن عمير) :,161.23.0.0.0
### || (شأن عاصم بن ثابت) :,161.24.0.0.0
### || (حنظلة ms522 غسيل الملائكة) :,161.25.0.0.0
### || (شعر الأسود في قتلهما حنظلة وأبا سفيان) :,161.26.0.0.0
### || (شعر حسان في الرد على أبي سفيان) :,161.27.0.0.0
### || (شعر الحارث في الرد على أبي سفيان أيضا) :,161.28.0.0.0
### || (حديث الزبير عن سبب الهزيمة) :,161.29.0.0.0
### || (شجاعة صؤاب وشعر حسان في ذلك) :,161.30.0.0.0
### || (شعر حسان في عمرة الحارثية) :,161.31.0.0.0
### || (ما لقيه الرسول يوم أحد) :,161.32.0.0.0
### || (شعر حسان في عتبة وما أصاب به الرسول) :,161.33.0.0.0
### || (ابن السكن وبلاؤه يوم أحد) :,161.34.0.0.0
### || (حديث أم سعد عن نصيبها في الجهاد يوم أحد) :,161.35.0.0.0
### || (أبو دجانة وابن أبي وقاص يدفعان عن الرسول) :,161.36.0.0.0
### || (بلاء قتادة وحديث ms527 عينه) :,161.37.0.0.0
### || (شأن أنس بن النضر) :,161.38.0.0.0
### || (ما أصاب ابن عوف من الجراحات) :,161.39.0.0.0
### || (أول من عرف الرسول بعد الهزيمة) :,161.40.0.0.0
### || (مقتل أبي بن خلف) :,161.41.0.0.0
### || (شعر حسان في مقتل أبي بن خلف) :,161.42.0.0.0
### || (انتهاء الرسول إلى الشعب) :,161.43.0.0.0
### || (حرص ابن أبي وقاص على قتل عتبة) :,161.44.0.0.0
### || (صعود قريش الجبل وقتال عمر لهم) :,161.45.0.0.0
### || (ضعف الرسول عن النهوض ومعاونة طلحة له) :,161.46.0.0.0
### || (صلاة الرسول قاعدا) :,161.47.0.0.0
### || (مقتل اليمان وابن وقش) :,161.48.0.0.0
### || (مقتل حاطب ومقالة أبيه) :,161.49.0.0.0
### || (مقتل قزمان منافقا كما حدث الرسول بذلك) :,161.50.0.0.0
### || (قتل مخيريق) :,161.51.0.0.0
### || (أمر الحارث بن سويد) :,161.52.0.0.0
### || (تحقيق ابن هشام فيمن قتل المجذر) :,161.53.0.0.0
### || (أمر أصيرم) :,161.54.0.0.0
### || (مقتل عمرو بن الجموح) :,161.55.0.0.0
### || (هند وتمثيلها بحمزة) :,161.56.0.0.0
### || (شعر هند ms534 بنت أثاثة في الرد على هند بنت عتبة) :,161.57.0.0.0
### || (شعر لهند بنت عتبة أيضا) :,161.58.0.0.0
### || (تحريض عمر لحسان على هجو هند بنت عتبة) :,161.59.0.0.0
### || (استنكار الحليس على أبي سفيان تمثيله بحمزة) :,161.60.0.0.0
### || (شماتة أبي سفيان بالمسلمين بعد أحد وحديثه مع عمر) :,161.61.0.0.0
### || (توعد أبي سفيان المسلمين) :,161.62.0.0.0
### || (خروج علي في آثار المشركين) :,161.63.0.0.0
### || (مر القتلى بأحد) :,161.64.0.0.0
### || (حزن الرسول على حمزة وتوعده المشركين بالمثلة) :,161.65.0.0.0
### || (ما نزل في النهي عن المثلة) :,161.66.0.0.0
### || (صلاة الرسول على حمزة والقتلى) :,161.67.0.0.0
### || (صفية وحزنها على حمزة) :,161.68.0.0.0
### || (دفن عبد الله بن جحش مع حمزة) :,161.69.0.0.0
### || (دفن الشهداء) :,161.70.0.0.0
### || (حزن حمنة على حمزة) :,161.71.0.0.0
### || (بكاء نساء الأنصار على حمزة) :,161.72.0.0.0
### || (شأن المرأة الدينارية) :,161.73.0.0.0
### || (غسل السيوف) :,161.74.0.0.0
### || (خروج الرسول في أثر العدو ليرهبه) :,161.75.0.0.0
### || (مثل من استماتة المسلمين في نصرة الرسول) :,161.76.0.0.0
### || (استعمال ابن أم مكتوم على المدينة) :,161.77.0.0.0
### || (شأن معبد الخزاعي) :,161.78.0.0.0
### || (رسالة أبي سفيان إلى الرسول على لسان ركب) :,161.79.0.0.0
### || (كف صفوان لأبي سفيان عن معاودة الكرة) :,161.80.0.0.0
### || (مقتل أبي عزة ومعاوية بن المغيرة) :,161.81.0.0.0
### || (مقتل معاوية بن المغيرة) :,161.82.0.0.0
### || (شأن عبد الله بن أبي بعد ذلك) :,161.83.0.0.0
### || (كان يوم أحد يوم محنة) :,161.84.0.0.0
### | ذكر ما أنزل الله في أحد من القرآن,162.0.0.0.0
### || (تفسير ابن هشام لبعض الغريب) :,162.1.0.0.0
### || (تفسير ابن هشام لبعض الغريب) :,162.2.0.0.0
### || (النهي عن الربا) :,162.3.0.0.0
### || (الحض على الطاعة) :,162.4.0.0.0
### || (ذكر ما أصابهم وتعزيتهم عنه) :,162.5.0.0.0
### || (دعوة الجنة للمجاهدين) :,162.6.0.0.0
### || (ذكره أن الموت بإذن الله) :,162.7.0.0.0
### || (ذكر شجاعة المجاهدين من قبل مع الأنبياء) :,162.8.0.0.0
### || (تفسير ابن هشام لبعض الغريب) :,162.9.0.0.0
### || (تحذيره إياهم من إطاعة الكفار) :,162.10.0.0.0
### || (تأنيبه إياهم لفرارهم عن نبيهم) :,162.11.0.0.0
### || (تحذيرهم أن يكونوا ممن يخشون الموت في الله) :,162.12.0.0.0
### || (ذكره رحمة الرسول عليهم) :,162.13.0.0.0
### || (ما نزل في الغلول) :,162.14.0.0.0
### || (فضل الله على الناس ببعث الرسل) :,162.15.0.0.0
### || (ذكره المصيبة التي أصابتهم) :,162.16.0.0.0
### || (الترغيب في الجهاد) :,162.17.0.0.0
### || (مصير قتلى أحد) :,162.18.0.0.0
### || (ذكر من خرجوا على الرسول إلى حمراء الأسد) :,162.19.0.0.0
### | ذكر من استشهد بأحد من المهاجرين,163.0.0.0.0
### || (من بني هاشم) :,163.1.0.0.0
### || (من بني أمية) .,163.2.0.0.0
### || (من بني عبد الدار) :,163.3.0.0.0
### || (من بني مخزوم) :,163.4.0.0.0
### || (من الأنصار) :,163.5.0.0.0
### || (من راتج) :,163.6.0.0.0
### || (من بني ظفر) :,163.7.0.0.0
### || (من بني ضبيعة) :,163.8.0.0.0
### || (من بني عبيد) :,163.9.0.0.0
### || (من بني السلم) :,163.10.0.0.0
### || (من بني العجلان) :,163.11.0.0.0
### || (من بني معاوية) :,163.12.0.0.0
### || (من بني النجار) :,163.13.0.0.0
### || (من بني مبذول) :,163.14.0.0.0
### || (من بني عمرو) :,163.15.0.0.0
### || (من بني عدي) :,163.16.0.0.0
### || (من بني مازن) :,163.17.0.0.0
### || (من بني دينار) :,163.18.0.0.0
### || (من بني الحارث) :,163.19.0.0.0
### || (من بني الأبجر) :,163.20.0.0.0
### || (من بني ساعدة) :,163.21.0.0.0
### || (من بني طريف) :,163.22.0.0.0
### || (من بني عوف) :,163.23.0.0.0
### || (من بني الحبلى) :,163.24.0.0.0
### || (من بني سلمة) :,163.25.0.0.0
### || (من بني سواد) :,163.26.0.0.0
### || (من بني زريق) :,163.27.0.0.0
### || (عدد الشهداء) :,163.28.0.0.0
### || (من بني معاوية) :,163.29.0.0.0
### || (من بني خطمة) :,163.30.0.0.0
### || (من بني الخزرج) :,163.31.0.0.0
### || (من بني عمرو) :,163.32.0.0.0
### || (من بني سالم) :,163.33.0.0.0
### | ذكر من قتل من المشركين يوم أحد,164.0.0.0.0
### || (من بني عبد الدار) :,164.1.0.0.0
### || (من بني أسد) :,164.2.0.0.0
### || (من بني زهرة) :,164.3.0.0.0
### || (من بني مخزوم) :,164.4.0.0.0
### || (من بني جمح) :,164.5.0.0.0
### || (من بني عامر) :,164.6.0.0.0
### || (عدد قتلى المشركين) :,164.7.0.0.0
### | ذكر ما قيل من الشعر يوم أحد,165.0.0.0.0
### || (شعر هبيرة) :,165.1.0.0.0
### || (شعر حسان في الرد على هبيرة) :,165.2.0.0.0
### || (شعر كعب في الرد على هبيرة) :,165.3.0.0.0
### || (شعر لابن الزبعرى) :,165.4.0.0.0
### || (رد حسان على ابن الزبعرى) :,165.5.0.0.0
### || (شعر كعب في بكاء حمزة وقتلى أحد) :,165.6.0.0.0
### || (شعر ضرار في الرد على كعب) :,165.7.0.0.0
### || (شعر ابن الزبعرى في يوم أحد) :,165.8.0.0.0
### || (شعر حسان في الرد على ابن الزبعرى) :,165.9.0.0.0
### || (شعر عمرو بن العاص في يوم أحد) :,165.10.0.0.0
### || (شعر كعب في الرد على ابن العاصي) :,165.11.0.0.0
### || (شعر ضرار في يوم أحد) :,165.12.0.0.0
### || (شعر عمرو في يوم أحد) :,165.13.0.0.0
### || (شعر كعب في الرد على عمرو بن العاصي) :,165.14.0.0.0
### || (شعر حسان في أصحاب اللواء),165.15.0.0.0
### || (شعر حسان في قتلى يوم أحد) :,165.16.0.0.0
"### || (شعر حسان، في بكاء حمزة)",165.17.0.0.0
"### || (شعر كعب، في بكاء حمزة) :",165.18.0.0.0
### || (شعر كعب في أحد) :,165.19.0.0.0
### || (شعر ابن رواحة في بكاء حمزة) :,165.20.0.0.0
### || (شعر كعب في أحد) :,165.21.0.0.0
### || (شعر ضرار في أحد) :,165.22.0.0.0
### || (رجز أبي زعنة يوم أحد) :,165.23.0.0.0
### || (رجز ينسب لعلي في يوم أحد) :,165.24.0.0.0
### || (رجز ms579 عكرمة في يوم أحد) :,165.25.0.0.0
### || (شعر الأعشى التميمي في بكاء قتلى بني عبد الدار يوم أحد) :,165.26.0.0.0
### || (شعر صفية في بكاء حمزة) :,165.27.0.0.0
### || (شعر نعم في بكاء شماس) :,165.28.0.0.0
### || (شعر أبي الحكم في تعزية نعم) :,165.29.0.0.0
### || (شعر هند بعد عودتها من أحد) :,165.30.0.0.0
### | ذكر يوم الرجيع في سنة ثلاث,166.0.0.0.0
### || (طلبت عضل والقارة نفرا من المسلمين ليعلموهم فأوفد الرسول ستة) :,166.1.0.0.0
### || (نسب عضل والقارة) :,166.2.0.0.0
### || (غدر عضل والقارة بالنفر الستة) :,166.3.0.0.0
### || (مقتل مرثد وابن البكير وعاصم) :,166.4.0.0.0
### || (حديث حماية الدبر لعاصم) :,166.5.0.0.0
### || (مقتل ابن طارق وبيع خبيب وابن الدثنة) :,166.6.0.0.0
### || (مقتل ابن الدثنة ومثل من وفائه للرسول) :,166.7.0.0.0
### || (مقتل خبيب وحديث دعوته) :,166.8.0.0.0
### || (ما نزل في سرية الرجيع من القرآن) :,166.9.0.0.0
### || (تفسير ابن هشام لبعض الغريب) :,166.10.0.0.0
### || (تفسير ابن هشام لبعض الغريب) :,166.11.0.0.0
### || (شعر خبيب حين أريد صلبه) :,166.12.0.0.0
### || (شعر حسان في بكاء خبيب) :,166.13.0.0.0
### || (من اجتمعوا لقتل خبيب) :,166.14.0.0.0
### || (شعر حسان في هجاء هذيل لقتلهم خبيبا) :,166.15.0.0.0
### || (شعر حسان في بكاء خبيب وأصحابه) :,166.16.0.0.0
### | حديث بئر معونة في صفر سنة أربع,167.0.0.0.0
### || (بعث بئر معونة) :,167.1.0.0.0
### || (سبب إرساله) :,167.2.0.0.0
### || (رجال البعث) :,167.3.0.0.0
### || (غدر عامر بهم) :,167.4.0.0.0
### || (ابن أمية والمنذر وموقفهما من القوم بعد علمهما بمقتل أصحابهما) :,167.5.0.0.0
### || (قتل العامريين) :,167.6.0.0.0
### || (حزن الرسول من عمل أبي براء) :,167.7.0.0.0
### || (أمر ابن فهيرة بعد مقتله) :,167.8.0.0.0
### || (سبب إسلام بن سلمى) :,167.9.0.0.0
### || (شعر حسان في تحريض بني أبي براء على عامر) :,167.10.0.0.0
### || (نسب حكم وأم البنين) :,167.11.0.0.0
### || (طعن ربيعة لعامر) :,167.12.0.0.0
### || (مقتل ابن ورقاء ورثاء ابن رواحة له) :,167.13.0.0.0
### || (شعر حسان في بكاء قتلى بئر معونة) :,167.14.0.0.0
### || (شعر كعب في يوم بئر معونة) :,167.15.0.0.0
### || (نسب القرطاء) :,167.16.0.0.0
### | أمر إجلاء بني النضير في سنة أربع,168.0.0.0.0
### || (خروج الرسول إلى بني النضير يستعينهم في دية قتلى بني عامر وهمهم بالغدر به) :,168.1.0.0.0
### || (انكشاف نيتهم للرسول واستعداده لحربهم) :,168.2.0.0.0
### || (حصار الرسول لهم وتقطيع نخلهم) :,168.3.0.0.0
### || (تحريض الرهط لهم ثم محاولتهم الصلح) :,168.4.0.0.0
### || (من هاجر منهم إلى خيبر) :,168.5.0.0.0
### || (تقسيم الرسول أموالهم بين المهاجرين) :,168.6.0.0.0
### || (من أسلم من بني النضير) :,168.7.0.0.0
### || (تحريض يامين على قتل ابن جحاش) :,168.8.0.0.0
### || (ما نزل في بني النضير من القرآن) :,168.9.0.0.0
### || (تفسير ابن هشام لبعض الغريب) :,168.10.0.0.0
### || (تفسير ابن هشام لبعض الغريب) :,168.11.0.0.0
### || (ما قيل في بني النضير من الشعر) :,168.12.0.0.0
### || (شعر كعب في إجلاء بني النضير وقتل ابن الأشرف) :,168.13.0.0.0
### || (شعر سماك في الرد على كعب) :,168.14.0.0.0
### || (شعر ابن مرداس في امتداح رجال بني النضير) :,168.15.0.0.0
### || (شعر خوات في الرد على ابن مرداس) :,168.16.0.0.0
### || (شعر ابن مرداس في الرد على خوات) :,168.17.0.0.0
### || (شعر لكعب أو ابن رواحة في الرد على ابن مرداس) :,168.18.0.0.0
### | غزوة ذات الرقاع في سنة أربع,169.0.0.0.0
### || (الأهبة لها) :,169.1.0.0.0
### || (سبب تسميتها بذات الرقاع) :,169.2.0.0.0
### || (صلاة الخوف) :,169.3.0.0.0
### || (غورث وما هم به من قتل الرسول) :,169.4.0.0.0
### || (جابر وقصته هو وجمله مع الرسول) :,169.5.0.0.0
